FilePath,MethodCount,CrappyMethodCount,MaxCrap,AvgCrap,TotalCrapLoad,AvgCoverage,MaxComplexity,WorstMethod,IsProduction
D:/bootcamp-palermo-workorders/.claude/worktrees/crap-database-8638/src/UI/Server/Notifications/RealtimeNotificationHub.cs,5,1,20,5.6,5,0,4,"ClearMeasure.Bootcamp.UI.Server.Notifications.RealtimeNotificationHub.BroadcastUtf8JsonAsync(string, CancellationToken)",True
D:/bootcamp-palermo-workorders/.claude/worktrees/crap-database-8638/src/ChurchBulletin.ServiceDefaults/Extensions.cs,5,0,12,4.8,0,0,3,"Microsoft.Extensions.Hosting.Extensions.AddOpenTelemetryExporters<TBuilder>(this TBuilder, OpenTelemetryBuilder)",True
D:/bootcamp-palermo-workorders/.claude/worktrees/crap-database-8638/src/ChurchBulletin.ServiceDefaults/LogEntryError.cs,2,0,12,7,0,0,3,Microsoft.Extensions.Hosting.LogEntryError.LogEntryError(Exception?),True
D:/bootcamp-palermo-workorders/.claude/worktrees/crap-database-8638/src/DataAccess/CanConnectToDatabaseHealthCheck.cs,1,0,12,12,0,0,3,"ClearMeasure.Bootcamp.DataAccess.CanConnectToDatabaseHealthCheck.CheckHealthAsync(HealthCheckContext, CancellationToken)",True
D:/bootcamp-palermo-workorders/.claude/worktrees/crap-database-8638/src/LlmGateway/ApplicationChatHandler.cs,1,0,12,12,0,0,3,"ClearMeasure.Bootcamp.LlmGateway.ApplicationChatHandler.Handle(ApplicationChatQuery, CancellationToken)",True
D:/bootcamp-palermo-workorders/.claude/worktrees/crap-database-8638/src/AcceptanceTests/McpServer/McpTestHelper.cs,7,0,12,4,0,0,3,"ClearMeasure.Bootcamp.AcceptanceTests.McpServer.McpTestHelper.ExtractJsonValue(string, string)",False
D:/bootcamp-palermo-workorders/.claude/worktrees/crap-database-8638/src/AcceptanceTests/McpServer/McpWorkOrderLifecycleLlmTests.cs,6,0,12,6.67,0,0,3,ClearMeasure.Bootcamp.AcceptanceTests.McpServer.McpWorkOrderLifecycleLlmTests.ShouldCompleteFullLifecycleViaLlm(),False
D:/bootcamp-palermo-workorders/.claude/worktrees/crap-database-8638/src/Core/Model/Employee.cs,9,0,12,4.67,0,0,3,ClearMeasure.Bootcamp.Core.Model.Employee.CanCreateWorkOrder(),True
D:/bootcamp-palermo-workorders/.claude/worktrees/crap-database-8638/src/Core/Model/WorkOrderStatus.cs,12,0,12,3.67,0,0,3,ClearMeasure.Bootcamp.Core.Model.WorkOrderStatus.Equals(object?),True
D:/bootcamp-palermo-workorders/.claude/worktrees/crap-database-8638/src/DataAccess/Handlers/StateCommandHandler.cs,1,0,12,12,0,0,3,"ClearMeasure.Bootcamp.DataAccess.Handlers.StateCommandHandler.Handle(StateCommandBase, CancellationToken)",True
D:/bootcamp-palermo-workorders/.claude/worktrees/crap-database-8638/src/Database/Console/BaselineDatabaseCommand.cs,1,0,12,12,0,0,3,"ClearMeasure.Bootcamp.Database.Console.BaselineDatabaseCommand.ExecuteInternal(CommandContext, DatabaseOptions, string, CancellationToken)",True
D:/bootcamp-palermo-workorders/.claude/worktrees/crap-database-8638/src/Database/Console/DatabaseConnectionStringBuilder.cs,7,0,12,7.43,0,0,3,"ClearMeasure.Bootcamp.Database.Console.DatabaseConnectionStringBuilder.FormatDataSource(string, bool)",True
D:/bootcamp-palermo-workorders/.claude/worktrees/crap-database-8638/src/Database/Console/ScriptBaselineMarker.cs,3,0,12,6.67,0,0,3,"ClearMeasure.Bootcamp.Database.Console.ScriptBaselineMarker.MarkScriptsInDirectory(string, string, string)",True
D:/bootcamp-palermo-workorders/.claude/worktrees/crap-database-8638/src/UI/Server/ApiRequestTimeoutsExtensions.cs,3,0,12,5.33,0,0,3,ClearMeasure.Bootcamp.UI.Server.ApiRequestTimeoutsExtensions.ConfigureApiRequestTimeoutPolicyOptions.Configure(RequestTimeoutOptions),True
D:/bootcamp-palermo-workorders/.claude/worktrees/crap-database-8638/src/UI/Server/CorsExtensions.cs,3,0,12,6.67,0,0,3,"ClearMeasure.Bootcamp.UI.Server.CorsExtensions.AddServerCors(this IServiceCollection, IConfiguration)",True
D:/bootcamp-palermo-workorders/.claude/worktrees/crap-database-8638/src/UI/Server/DetailedHealthCheckResponseWriter.cs,1,0,12,12,0,0,3,"ClearMeasure.Bootcamp.UI.Server.DetailedHealthCheckResponseWriter.WriteAsync(HttpContext, HealthReport)",True
D:/bootcamp-palermo-workorders/.claude/worktrees/crap-database-8638/src/UI/Server/DetailedHealthReportProvider.cs,9,0,12,4.67,0,0,3,ClearMeasure.Bootcamp.UI.Server.DetailedHealthReportProvider.MapOverallStatus(HealthStatus),True
D:/bootcamp-palermo-workorders/.claude/worktrees/crap-database-8638/src/UI/Server/ProblemDetailsExceptionHandler.cs,1,0,12,12,0,0,3,"ClearMeasure.Bootcamp.UI.Server.ProblemDetailsExceptionHandler.HandleAsync(HttpContext, IHostEnvironment)",True
D:/bootcamp-palermo-workorders/.claude/worktrees/crap-database-8638/src/UI.Shared/Pages/Login.razor.cs,4,0,12,5.5,0,0,3,ClearMeasure.Bootcamp.UI.Shared.Pages.Login.HandleLogin(),True
D:/bootcamp-palermo-workorders/.claude/worktrees/crap-database-8638/src/UnitTests/Api/TunableApiRateLimitWebApplicationFactory.cs,2,0,12,7,0,0,3,ClearMeasure.Bootcamp.UnitTests.Api.TunableApiRateLimitWebApplicationFactory.ConfigureWebHost(IWebHostBuilder),False
D:/bootcamp-palermo-workorders/.claude/worktrees/crap-database-8638/src/UnitTests/UI.Shared/MainLayoutTests.cs,16,0,12,2.62,0,0,3,ClearMeasure.Bootcamp.UnitTests.UI.Shared.MainLayoutTests.CreateContext(string?),False
D:/bootcamp-palermo-workorders/.claude/worktrees/crap-database-8638/src/UI/Client/HealthChecks/RemotableBusHealthCheck.cs,1,0,12,12,0,0,3,"ClearMeasure.Bootcamp.UI.Client.HealthChecks.RemotableBusHealthCheck.CheckHealthAsync(HealthCheckContext, CancellationToken)",True
D:/bootcamp-palermo-workorders/.claude/worktrees/crap-database-8638/src/UI/Client/HealthChecks/ServerHealthCheck.cs,1,0,12,12,0,0,3,"ClearMeasure.Bootcamp.UI.Client.HealthChecks.ServerHealthCheck.CheckHealthAsync(HealthCheckContext, CancellationToken)",True
D:/bootcamp-palermo-workorders/.claude/worktrees/crap-database-8638/src/UI/Server/Controllers/SingleApiController.cs,1,0,12,12,0,0,3,ClearMeasure.Bootcamp.UI.Server.Controllers.SingleApiController.Post(WebServiceMessage),True
D:/bootcamp-palermo-workorders/.claude/worktrees/crap-database-8638/src/UnitTests/UI/Server/DetailedHealthReportProviderTests.cs,26,0,12,2.38,0,0,3,ClearMeasure.Bootcamp.UnitTests.UI.Server.DetailedHealthReportProviderTests.FromComponentStatuses_Should_MapStatusesAndOverall(),False
D:/bootcamp-palermo-workorders/.claude/worktrees/crap-database-8638/src/UnitTests/UI.Shared/Pages/WorkOrderManageAttachmentsTests.cs,6,0,12,3.67,0,0,3,ClearMeasure.Bootcamp.UnitTests.UI.Shared.Pages.WorkOrderManageAttachmentsTests.StubWorkOrderManageBus.Send<TResponse>(IRequest<TResponse>),False
D:/bootcamp-palermo-workorders/.claude/worktrees/crap-database-8638/src/UnitTests/UI.Shared/Pages/WorkOrderManageInstructionsFieldTests.cs,7,0,12,3.43,0,0,3,ClearMeasure.Bootcamp.UnitTests.UI.Shared.Pages.WorkOrderManageInstructionsFieldTests.StubWorkOrderManageBus.Send<TResponse>(IRequest<TResponse>),False
D:/bootcamp-palermo-workorders/.claude/worktrees/crap-database-8638/src/UnitTests/UI.Shared/Pages/WorkOrderManageRoomFieldTests.cs,7,0,12,3.43,0,0,3,ClearMeasure.Bootcamp.UnitTests.UI.Shared.Pages.WorkOrderManageRoomFieldTests.StubWorkOrderManageBus.Send<TResponse>(IRequest<TResponse>),False
D:/bootcamp-palermo-workorders/.claude/worktrees/crap-database-8638/src/UnitTests/UI.Shared/Pages/WorkOrderManageSpeechTests.cs,8,0,12,3.25,0,0,3,ClearMeasure.Bootcamp.UnitTests.UI.Shared.Pages.WorkOrderManageSpeechTests.StubBus.Send<TResponse>(IRequest<TResponse>),False
D:/bootcamp-palermo-workorders/.claude/worktrees/crap-database-8638/src/UI/Server/Generated/Protos/WorkordersGrpc.cs,20,0,12,2.9,0,0,3,"ClearMeasure.Bootcamp.UI.Server.Grpc.WorkOrders.BindService(grpc::ServiceBinderBase, WorkOrdersBase)",False
D:/bootcamp-palermo-workorders/.claude/worktrees/crap-database-8638/src/ChurchBulletin.ServiceDefaults/LocalTelemetryLoggerProvider.cs,8,0,6,2.5,0,0,2,"Microsoft.Extensions.Hosting.LocalTelemetryLoggerProvider.LocalTelemetryLogger.Log<TState>(LogLevel, EventId, TState, Exception?, Func<TState, Exception?, string>)",True
D:/bootcamp-palermo-workorders/.claude/worktrees/crap-database-8638/src/ChurchBulletin.ServiceDefaults/MetricEntry.cs,2,0,6,4,0,0,2,"Microsoft.Extensions.Hosting.MetricEntry.MetricEntry(string, double, string?, IDictionary<string, object?>?)",True
D:/bootcamp-palermo-workorders/.claude/worktrees/crap-database-8638/src/IntegrationTests/SqliteDatabaseSetup.cs,1,0,6,6,0,0,2,ClearMeasure.Bootcamp.IntegrationTests.SqliteDatabaseSetup.SetUp(),False
D:/bootcamp-palermo-workorders/.claude/worktrees/crap-database-8638/src/McpServer/DatabaseConfiguration.cs,2,0,6,4,0,0,2,ClearMeasure.Bootcamp.McpServer.DatabaseConfiguration.ResetConnectionPool(),True
D:/bootcamp-palermo-workorders/.claude/worktrees/crap-database-8638/src/UI.Shared/LoginDisplayNameFormatter.cs,1,0,6,6,0,0,2,ClearMeasure.Bootcamp.UI.Shared.LoginDisplayNameFormatter.FormatForLoginDropdown(string?),True
D:/bootcamp-palermo-workorders/.claude/worktrees/crap-database-8638/src/UI.Shared/NavMenu.Razor.cs,6,0,6,2.67,0,0,2,ClearMeasure.Bootcamp.UI.Shared.NavMenu.NavMenuCssClass.get,True
D:/bootcamp-palermo-workorders/.claude/worktrees/crap-database-8638/src/AcceptanceTests/App/AiAgentPageTests.cs,3,0,6,3.33,0,0,2,ClearMeasure.Bootcamp.AcceptanceTests.App.AiAgentPageTests.ShouldKeepPromptVisibleWhenResizingWithLongConversation(),False
D:/bootcamp-palermo-workorders/.claude/worktrees/crap-database-8638/src/AcceptanceTests/App/DarkModeTests.cs,3,0,6,3.33,0,0,2,ClearMeasure.Bootcamp.AcceptanceTests.App.DarkModeTests.DarkMode_ShouldPersistAcrossReload(),False
D:/bootcamp-palermo-workorders/.claude/worktrees/crap-database-8638/src/AcceptanceTests/Authentication/LoginTests.cs,5,0,6,2.8,0,0,2,ClearMeasure.Bootcamp.AcceptanceTests.Authentication.LoginTests.LoginWithUsernameOnlyForwardsToHomePage(),False
D:/bootcamp-palermo-workorders/.claude/worktrees/crap-database-8638/src/AcceptanceTests/McpServer/McpChatConversationTests.cs,5,0,6,4.4,0,0,2,ClearMeasure.Bootcamp.AcceptanceTests.McpServer.McpChatConversationTests.McpTearDown(),False
D:/bootcamp-palermo-workorders/.claude/worktrees/crap-database-8638/src/AcceptanceTests/McpServer/McpHttpServerAcceptanceTests.cs,8,0,6,3,0,0,2,ClearMeasure.Bootcamp.AcceptanceTests.McpServer.McpHttpServerAcceptanceTests.McpTearDown(),False
